"Data","PM10"
"09/02/2021","6"
"09/03/2021","8"
"09/04/2021","8"
"09/05/2021","7"
"09/09/2021","12"
"09/10/2021","16"
"09/11/2021","16"
"09/12/2021","11"
"09/13/2021","6"
"09/14/2021","8"
"09/15/2021","6"
"09/16/2021","7"
"09/17/2021","12"
"09/18/2021","13"
"09/19/2021","12"
"09/20/2021","14"
"09/21/2021","23"
"09/22/2021","17"
"09/23/2021","10"
"09/24/2021","8"
"09/25/2021","12"
"09/26/2021","13"
"09/27/2021","36"
"09/28/2021","32"
"09/29/2021","29"
"09/30/2021","24"
"10/01/2021","30"
"10/02/2021","60"
"10/03/2021","41"
"10/04/2021","56"
"10/05/2021","20"
"10/06/2021","2"
"10/07/2021","2"
"10/08/2021","3"
"10/09/2021","3"
"10/10/2021","3"
"10/11/2021","2"
"10/12/2021","2"
"10/13/2021","4"
"10/14/2021","5"
"10/15/2021","4"
"10/16/2021","29"
"10/17/2021","36"
"10/18/2021","39"
"10/19/2021","11"
"10/20/2021","16"
"10/21/2021","9"
"10/22/2021","11"
"10/23/2021","34"
"10/24/2021","34"
"10/25/2021","36"
"10/26/2021","86"
"10/27/2021","68"
"10/28/2021","22"
"10/29/2021","4"
"10/30/2021","5"
"10/31/2021","5"
"11/01/2021","16"
"11/02/2021","1"
"11/03/2021","18"
"11/04/2021","11"
"11/05/2021","5"
"11/06/2021","5"
"11/07/2021","2"
"11/08/2021","33"
"11/09/2021","44"
"11/10/2021","45"
"11/13/2021","7"
"11/14/2021","12"
"11/15/2021","11"
"11/16/2021","9"
"11/17/2021","7"
"11/18/2021","12"
"11/19/2021","14"
"11/20/2021","10"
"11/21/2021","13"
"11/22/2021","9"
"11/24/2021","12"
"11/25/2021","7"
"11/26/2021","12"
"11/27/2021","8"
"11/28/2021","6"
"11/29/2021","7"
"11/30/2021","11"
"12/01/2021","3"
"12/02/2021","10"
"12/03/2021","9"
"12/04/2021","5"
"12/05/2021","1"
"12/06/2021","2"
"12/07/2021","2"
"12/08/2021","6"
"12/09/2021","1"
"12/10/2021","4"
"12/11/2021","5"
"12/12/2021","19"
"12/13/2021","17"
"12/14/2021","11"
"12/15/2021","9"
"12/16/2021","5"
"12/17/2021","5"
"12/18/2021","5"
"12/19/2021","3"
"12/20/2021","4"
"12/21/2021","9"
"12/22/2021","6"
"12/23/2021","6"
"12/24/2021","7"
"12/25/2021","5"
"12/26/2021","7"
"12/27/2021","10"
"12/28/2021","15"
"12/29/2021","7"
"12/30/2021","7"
"12/31/2021","1"
"01/01/2020","6"
"01/02/2020","4"
"01/03/2020","6"
"01/04/2020","14"
"01/05/2020","11"
"01/06/2020","11"
"01/07/2020","10"
"01/08/2020","9"
"01/09/2020","8"
"01/10/2020","8"
"01/11/2020","12"
"01/12/2020","3"
"01/13/2020","5"
"01/14/2020","9"
"01/15/2020","9"
"01/16/2020","7"
"01/17/2020","13"
"01/18/2020","8"
"01/19/2020","4"
"01/20/2020","3"
"01/21/2020","8"
"01/22/2020","4"
"01/23/2020","4"
"01/24/2020","7"
"01/25/2020","8"
"01/26/2020","8"
"01/27/2020","5"
"01/28/2020","5"
"01/29/2020","7"
"01/30/2020","7"
"01/31/2020","4"
"02/01/2020","9"
"02/02/2020","4"
"02/03/2020","3"
"02/04/2020","4"
"02/05/2020","6"
"02/06/2020","5"
"02/07/2020","5"
"02/08/2020","6"
"02/09/2020","8"
"02/10/2020","10"
"02/11/2020","11"
"02/12/2020","5"
"02/13/2020","7"
"02/14/2020","6"
"02/15/2020","6"
"02/16/2020","9"
"02/17/2020","2"
"02/18/2020","1"
"02/19/2020","3"
"02/20/2020","3"
"02/21/2020","4"
"02/22/2020","4"
"02/23/2020","5"
"02/24/2020","9"
"02/25/2020","7"
"02/26/2020","6"
"02/27/2020","13"
"02/28/2020","28"
"02/29/2020","12"
"03/01/2020","4"
"03/02/2020","3"
"03/03/2020","5"
"03/04/2020","6"
"03/05/2020","9"
"03/06/2020","19"
"03/07/2020","5"
"03/08/2020","2"
"03/09/2020","3"
"03/10/2020","5"
"03/11/2020","37"
"03/12/2020","44"
"03/13/2020","38"
"03/14/2020","18"
"03/15/2020","31"
"03/16/2020","14"
"03/17/2020","11"
"03/18/2020","10"
"03/19/2020","12"
"03/20/2020","16"
"03/21/2020","4"
"03/22/2020","6"
"03/23/2020","39"
"03/24/2020","26"
"03/25/2020","20"
"04/01/2020","17"
"04/02/2020","4"
"04/03/2020","7"
"04/04/2020","17"
"04/05/2020","22"
"04/06/2020","44"
"04/07/2020","51"
"04/08/2020","31"
"04/09/2020","29"
"04/10/2020","33"
"04/11/2020","19"
"04/12/2020","7"
"04/13/2020","6"
"04/14/2020","20"
"04/15/2020","24"
"04/16/2020","6"
"04/17/2020","28"
"04/18/2020","27"
"04/19/2020","18"
"04/20/2020","6"
"04/22/2020","30"
"04/23/2020","14"
"04/24/2020","22"
"04/25/2020","33"
"04/26/2020","22"
"04/27/2020","80"
"04/28/2020","65"
"04/29/2020","45"
"04/30/2020","45"
"05/01/2020","33"
"05/02/2020","31"
"05/03/2020","27"
"05/04/2020","20"
"05/05/2020","29"
"05/06/2020","37"
"05/07/2020","31"
"05/08/2020","28"
"05/09/2020","26"
"05/10/2020","24"
"05/11/2020","41"
"05/12/2020","21"
"05/13/2020","32"
"05/14/2020","37"
"05/15/2020","37"
"05/16/2020","19"
"05/17/2020","16"
"05/18/2020","27"
"05/19/2020","15"
"05/20/2020","18"
"05/21/2020","15"
"05/22/2020","14"
"05/23/2020","11"
"05/24/2020","4"
"05/25/2020","11"
"05/26/2020","13"
